0 0.8234 0.409 0.1492 0.05951
0.001 0.8234 0.409 0.1492 0.05951
0.002 0.8235 0.4091 0.1492 0.05951
0.003 0.8237 0.4092 0.1492 0.05952
0.004 0.8239 0.4093 0.1492 0.05953
0.005 0.8242 0.4095 0.1492 0.05954
0.006 0.8245 0.4098 0.1493 0.05956
0.007 0.8249 0.4101 0.1493 0.05958
0.008 0.8254 0.4104 0.1494 0.0596
0.009 0.8259 0.4107 0.1494 0.05963
0.01 0.8265 0.4112 0.1495 0.05965
0.011 0.8272 0.4116 0.1496 0.05968
0.012 0.8279 0.4121 0.1496 0.05972
0.013 0.8287 0.4127 0.1497 0.05975
0.014 0.8295 0.4132 0.1498 0.05979
0.015 0.8304 0.4139 0.1499 0.05983
0.016 0.8314 0.4146 0.15 0.05988
0.017 0.8324 0.4153 0.1501 0.05993
0.018 0.8335 0.416 0.1502 0.05998
0.019 0.8347 0.4169 0.1504 0.06003
0.02 0.8359 0.4177 0.1505 0.06009
0.021 0.8372 0.4186 0.1506 0.06015
0.022 0.8386 0.4196 0.1508 0.06021
0.023 0.84 0.4206 0.1509 0.06028
0.024 0.8415 0.4216 0.1511 0.06035
0.025 0.8431 0.4227 0.1513 0.06042
0.026 0.8447 0.4239 0.1514 0.0605
0.027 0.8464 0.4251 0.1516 0.06057
0.028 0.8482 0.4263 0.1518 0.06066
0.029 0.85 0.4276 0.152 0.06074
0.03 0.8519 0.429 0.1522 0.06083
0.031 0.8538 0.4304 0.1524 0.06092
0.032 0.8559 0.4318 0.1526 0.06101
0.033 0.858 0.4333 0.1528 0.06111
0.034 0.8602 0.4349 0.1531 0.06121
0.035 0.8624 0.4365 0.1533 0.06131
0.036 0.8647 0.4382 0.1535 0.06142
0.037 0.8671 0.4399 0.1538 0.06153
0.038 0.8696 0.4417 0.154 0.06164
0.039 0.8721 0.4435 0.1543 0.06176
0.04 0.8747 0.4454 0.1546 0.06188
0.041 0.8774 0.4474 0.1549 0.062
0.042 0.8801 0.4494 0.1551 0.06213
0.043 0.883 0.4515 0.1554 0.06226
0.044 0.8859 0.4536 0.1557 0.06239
0.045 0.8888 0.4558 0.1561 0.06253
0.046 0.8919 0.4581 0.1564 0.06267
0.047 0.895 0.4604 0.1567 0.06281
0.048 0.8983 0.4628 0.157 0.06296
0.049 0.9016 0.4653 0.1574 0.06311
0.05 0.9049 0.4678 0.1577 0.06327
0.051 0.9084 0.4705 0.1581 0.06342
0.052 0.9119 0.4731 0.1584 0.06358
0.053 0.9155 0.4759 0.1588 0.06375
